%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 5 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 92.00 0.10 98.14 0.00 0.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 5 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 93.00 -0.30 98.12 0.00 0.00 -999.00 284.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 5 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 93.00 0.00 98.11 0.00 0.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 5 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 93.00 -0.30 98.05 0.00 0.00 -999.00 284.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 5 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 90.00 0.40 98.09 0.00 0.00 -999.00 287.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 5 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.70000 90.00 0.10 98.11 0.00 0.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 5 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 86.00 0.40 98.15 0.00 0.00 -999.00 287.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 5 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 88.00 0.10 98.19 0.00 0.00 -999.00 272.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 5 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 82.00 1.30 98.24 0.00 67.00 -999.00 283.00 -999.00 -999.00 -999.00 -999.00 62.00 33.00 90.00
1985 5 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 81.00 2.10 98.23 0.00 117.00 -999.00 276.00 -999.00 -999.00 -999.00 -999.00 103.00 60.00 90.00
1985 5 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 82.00 2.50 98.17 0.00 169.00 -999.00 283.00 -999.00 -999.00 -999.00 -999.00 132.00 132.00 100.00
1985 5 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 71.00 3.80 98.11 0.00 199.00 -999.00 288.00 -999.00 -999.00 -999.00 -999.00 108.00 320.00 100.00
1985 5 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 72.00 3.70 98.05 0.00 171.00 -999.00 293.00 -999.00 -999.00 -999.00 -999.00 95.00 310.00 100.00
1985 5 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 75.00 3.30 98.01 0.00 126.00 -999.00 292.00 -999.00 -999.00 -999.00 -999.00 67.00 335.00 100.00
1985 5 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 74.00 3.30 97.95 0.00 61.00 -999.00 292.00 -999.00 -999.00 -999.00 -999.00 40.00 309.00 90.00
1985 5 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 76.00 2.90 97.87 0.00 0.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 5 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 77.00 2.60 97.80 0.00 0.00 -999.00 289.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 5 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 79.00 2.30 97.68 0.00 0.00 -999.00 296.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 5 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 79.00 2.40 97.64 0.00 0.00 -999.00 296.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 5 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 79.00 2.30 97.61 0.00 0.00 -999.00 296.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 5 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 77.00 2.90 97.54 0.00 0.00 -999.00 298.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 5 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 80.00 2.90 97.43 0.00 0.00 -999.00 299.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 6 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 78.00 3.40 97.42 0.00 0.00 -999.00 301.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 6 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 76.00 3.80 97.38 0.00 0.00 -999.00 303.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 6 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 71.00 4.70 97.43 0.00 0.00 -999.00 307.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
